p_a,h,i,assortativity
0.7,0.7,15,0.1397607709862149
0.7,0.7,16,0.137606579891191
0.7,0.7,17,0.14635884183713052
0.7,0.7,18,0.14620462902010042
0.7,0.7,19,0.14009033989560787
0.7,0.8,0,0.22031657785276137
0.7,0.8,1,0.21038311863096057
0.7,0.8,2,0.23014478565685415
0.7,0.8,3,0.21049794263311264
0.7,0.8,4,0.22643847720031196
0.7,0.8,5,0.2172965093245308
0.7,0.8,6,0.20293954695438973
0.7,0.8,7,0.21832353306579305
0.7,0.8,8,0.20774122098155803
0.7,0.8,9,0.21836290873039
0.7,0.8,10,0.22702903884337014
0.7,0.8,11,0.22060031429537535
0.7,0.8,12,0.21626936312199652
0.7,0.8,13,0.2041617381446512
0.7,0.8,14,0.2161134489835253
0.7,0.8,15,0.2237220054780374
0.7,0.8,16,0.2259739800470574
0.7,0.8,17,0.2050187833252646
0.7,0.8,18,0.20876787685665074
0.7,0.8,19,0.21873888962633983
0.7,0.9,0,0.2949491600438959
0.7,0.9,1,0.2854590010398581
0.7,0.9,2,0.28692059386912966
0.7,0.9,3,0.3094994069138103
0.7,0.9,4,0.3063751329678079
0.7,0.9,5,0.29163303715849076
0.7,0.9,6,0.29892045040624976
0.7,0.9,7,0.29035493738493184
0.7,0.9,8,0.28259628557283467
0.7,0.9,9,0.29177972557713555
0.7,0.9,10,0.29024073135156103
0.7,0.9,11,0.2969955338026744
0.7,0.9,12,0.2963806217141037
0.7,0.9,13,0.2957341065696159
0.7,0.9,14,0.2984304379812352
0.7,0.9,15,0.2974049513194604
0.7,0.9,16,0.3026683963488157
0.7,0.9,17,0.285460014957155
0.7,0.9,18,0.2913867447008898
0.7,0.9,19,0.3003716794036086
0.7,1.0,0,0.37331680565153036
0.7,1.0,1,0.37898948230208324
0.7,1.0,2,0.37667797804658015
0.7,1.0,3,0.3859575028795075
0.7,1.0,4,0.3725351896878725
0.7,1.0,5,0.36940250656727175
0.7,1.0,6,0.37040786941533665
0.7,1.0,7,0.3815596653703546
0.7,1.0,8,0.3641052478419108
0.7,1.0,9,0.377596029923509
0.7,1.0,10,0.3688279068021682
0.7,1.0,11,0.3765649598653449
0.7,1.0,12,0.3833599762315722
0.7,1.0,13,0.38221412707272406
0.7,1.0,14,0.3830370246953996
0.7,1.0,15,0.37446321407967315
0.7,1.0,16,0.3760695816808156
0.7,1.0,17,0.36798662449164316
0.7,1.0,18,0.36612268092003075
0.7,1.0,19,0.3804433709247839
0.8,0.5,0,0.0024596837953328437
0.8,0.5,1,0.0016297710273570733
0.8,0.5,2,0.0036571222126154553
0.8,0.5,3,-0.00020151570097609549
0.8,0.5,4,0.005752461513451361
0.8,0.5,5,0.007076523799224962
