b_p,network,h_p,offset,run_index,active_set,majority
0.01,hersheycareers,0.8,30,0,316.9353,262.1053
0.01,hersheycareers,0.8,30,1,317.179,262.3305
0.01,hersheycareers,0.8,30,2,316.9956,262.1095
0.01,hersheycareers,0.8,30,3,316.9335,262.0798
0.01,hersheycareers,0.8,30,4,316.8881,262.0181
0.01,hersheycareers,0.8,30,5,316.9447,262.103
0.01,hersheycareers,0.8,30,6,317.1337,262.2278
0.01,hersheycareers,0.8,30,7,316.8819,261.9884
0.01,hersheycareers,0.8,30,8,316.8433,262.0264
0.01,hersheycareers,0.8,30,9,316.8199,261.8958
0.01,hersheycareers,0.8,40,0,315.4855,270.949
0.01,hersheycareers,0.8,40,1,315.7832,271.1467
0.01,hersheycareers,0.8,40,2,315.5327,270.9238
0.01,hersheycareers,0.8,40,3,315.8317,271.1739
0.01,hersheycareers,0.8,40,4,315.7303,271.0766
0.01,hersheycareers,0.8,40,5,315.7319,271.1283
0.01,hersheycareers,0.8,40,6,315.4954,270.8902
0.01,hersheycareers,0.8,40,7,315.5311,270.9853
0.01,hersheycareers,0.8,40,8,315.686,271.1217
0.01,hersheycareers,0.8,40,9,315.7312,271.1231
0.01,hersheycareers,0.8,50,0,314.1509,279.9782
0.01,hersheycareers,0.8,50,1,314.0499,279.9787
0.01,hersheycareers,0.8,50,2,314.1307,280.1072
0.01,hersheycareers,0.8,50,3,314.2176,280.0571
0.01,hersheycareers,0.8,50,4,314.2271,280.057
0.01,hersheycareers,0.8,50,5,313.8905,279.796
0.01,hersheycareers,0.8,50,6,314.0495,279.9462
0.01,hersheycareers,0.8,50,7,314.0317,279.94
0.01,hersheycareers,0.8,50,8,314.2326,280.0298
0.01,hersheycareers,0.8,50,9,313.9946,279.8741
0.01,hersheycareers,0.8,60,0,310.4241,288.0539
0.01,hersheycareers,0.8,60,1,310.4137,288.1303
0.01,hersheycareers,0.8,60,2,310.3982,288.0407
0.01,hersheycareers,0.8,60,3,310.5068,288.1864
0.01,hersheycareers,0.8,60,4,310.4008,288.0862
0.01,hersheycareers,0.8,60,5,310.4342,288.1271
0.01,hersheycareers,0.8,60,6,310.501,288.128
0.01,hersheycareers,0.8,60,7,310.6331,288.2653
0.01,hersheycareers,0.8,60,8,310.2387,288.0499
0.01,hersheycareers,0.8,60,9,310.2905,288.0109
0.01,upsjobs,0.5,-60,0,703.6961,399.0113
0.01,upsjobs,0.5,-60,1,703.3789,398.7649
0.01,upsjobs,0.5,-60,2,703.6841,399.0683
0.01,upsjobs,0.5,-60,3,703.3156,398.6006
0.01,upsjobs,0.5,-60,4,703.4866,398.7043
0.01,upsjobs,0.5,-60,5,703.9699,399.2357
0.01,upsjobs,0.5,-60,6,703.4835,399.0704
0.01,upsjobs,0.5,-60,7,703.923,399.1183
0.01,upsjobs,0.5,-60,8,703.6837,398.845
0.01,upsjobs,0.5,-60,9,704.0814,399.1235
