b_p,n,p_M,h,run_index,active_set,majority
0.01,20000,0.7,0.7,1,234.3074,170.9525
0.01,20000,0.7,0.7,2,234.9685,175.9227
0.01,20000,0.7,0.7,3,234.5735,177.5975
0.01,20000,0.7,0.7,4,235.1351,164.328
0.01,20000,0.7,0.7,5,232.9347,177.2968
0.01,20000,0.7,0.7,6,234.5999,179.225
0.01,20000,0.7,0.7,7,234.1579,183.5302
0.01,20000,0.7,0.7,8,233.7088,167.4527
0.01,20000,0.7,0.7,9,234.8583,178.5434
0.01,20000,0.7,0.7,10,234.9708,171.821
0.01,20000,0.7,0.7,11,233.708,159.8595
0.01,20000,0.7,0.7,12,235.1994,165.1791
0.01,20000,0.7,0.7,13,234.048,178.035
0.01,20000,0.7,0.7,14,236.1717,179.491
0.01,20000,0.7,0.7,15,234.3877,178.1534
0.01,20000,0.7,0.7,16,234.1179,181.1008
0.01,20000,0.7,0.7,17,233.1496,164.5142
0.01,20000,0.7,0.7,18,233.9578,174.5956
0.01,20000,0.7,0.7,19,234.838,178.0821
0.01,20000,0.7,0.8,0,233.4856,174.5188
0.01,20000,0.7,0.8,1,233.845,184.4979
0.01,20000,0.7,0.8,2,235.8845,175.3445
0.01,20000,0.7,0.8,3,235.9824,178.1361
0.01,20000,0.7,0.8,4,234.8072,176.7267
0.01,20000,0.7,0.8,5,234.3692,186.0497
0.01,20000,0.7,0.8,6,235.8208,176.3511
0.01,20000,0.7,0.8,7,234.9397,171.1519
0.01,20000,0.7,0.8,8,234.132,184.0907
0.01,20000,0.7,0.8,9,235.4033,176.311
0.01,20000,0.7,0.8,10,234.5659,181.9788
0.01,20000,0.7,0.8,11,234.9522,187.8013
0.01,20000,0.7,0.8,12,236.3628,178.5911
0.01,20000,0.7,0.8,13,233.7143,179.6561
0.01,20000,0.7,0.8,14,234.801,176.0452
0.01,20000,0.7,0.8,15,235.2081,176.9836
0.01,20000,0.7,0.8,16,234.67,181.9912
0.01,20000,0.7,0.8,17,235.9454,193.4362
0.01,20000,0.7,0.8,18,234.1985,178.8283
0.01,20000,0.7,0.8,19,234.6322,185.0217
0.01,20000,0.7,0.9,0,235.7022,184.8573
0.01,20000,0.7,0.9,1,235.2183,191.7018
0.01,20000,0.7,0.9,2,235.2838,191.4006
0.01,20000,0.7,0.9,3,233.6996,180.6148
0.01,20000,0.7,0.9,4,233.6303,184.1649
0.01,20000,0.7,0.9,5,234.678,192.0803
0.01,20000,0.7,0.9,6,235.4767,178.466
0.01,20000,0.7,0.9,7,235.2118,188.0569
0.01,20000,0.7,0.9,8,233.158,174.3388
0.01,20000,0.7,0.9,9,234.5929,177.9979
0.01,20000,0.7,0.9,10,234.6443,187.6796
0.01,20000,0.7,0.9,11,233.3168,189.6833
0.01,20000,0.7,0.9,12,235.4801,184.3234
0.01,20000,0.7,0.9,13,234.1816,179.1534
0.01,20000,0.7,0.9,14,234.1306,179.2428
0.01,20000,0.7,0.9,15,234.5866,170.7372
0.01,20000,0.7,0.9,16,234.4483,179.3824
0.01,20000,0.7,0.9,17,235.4576,188.5157
0.01,20000,0.7,0.9,18,234.2424,179.4248
0.01,20000,0.7,0.9,19,235.57,180.284
0.01,20000,0.7,1.0,0,233.8932,177.9958
0.01,20000,0.7,1.0,1,235.915,182.532
0.01,20000,0.7,1.0,2,235.4894,180.3605
0.01,20000,0.7,1.0,3,235.3002,182.0365
0.01,20000,0.7,1.0,4,236.5997,182.071
0.01,20000,0.7,1.0,5,235.284,183.2855
0.01,20000,0.7,1.0,6,234.6115,182.5989
0.01,20000,0.7,1.0,7,234.1087,188.7723
0.01,20000,0.7,1.0,8,234.4887,182.5879
0.01,20000,0.7,1.0,9,234.2291,175.1224
0.01,20000,0.7,1.0,10,235.7788,180.3708
0.01,20000,0.7,1.0,11,234.4594,176.1195
0.01,20000,0.7,1.0,12,234.6284,186.6447
0.01,20000,0.7,1.0,13,234.7349,177.4614
0.01,20000,0.7,1.0,14,236.2888,183.2494
0.01,20000,0.7,1.0,15,234.0217,184.2893
0.01,20000,0.7,1.0,16,235.2168,178.9861
0.01,20000,0.7,1.0,17,234.1991,194.4251
0.01,20000,0.7,1.0,18,233.9158,179.292
0.01,20000,0.7,1.0,19,236.167,186.6516
